sample_index,token_id_uint64,mask_id,SALMONELLA_occurrences,DEINOCOCCUS_occurrences,THERMOCOCCUS_occurrences,METHANOSARCINA_occurrences,KLUYVEROMYCES_occurrences,ARABIDOPSIS_occurrences,DROSOPHILA_occurrences,CBRIGGSAE_occurrences
108,2936828175,10,0,0,0,0,0,6,6,0
109,2960932155,11,0,0,0,0,0,1,0,0
110,2961155071,11,0,0,0,0,0,20,2,10
111,2986999852,11,0,0,0,0,2,9,3,8
112,3166174244,11,0,0,0,0,0,4,1,0
113,3179280368,11,0,0,0,0,1,6,3,11
114,3227548671,12,0,0,0,0,0,2,1,1
115,3237084316,12,0,0,0,1,2,3,7,1
116,3237999103,12,1,0,0,2,2,44,19,131
117,3355203665,12,0,0,0,0,0,1,0,1
118,3434285088,12,0,0,0,1,0,10,3,1
119,3488817792,12,0,0,0,1,0,5,1,6
120,3492548624,13,0,0,0,1,1,12,7,4
121,3611522843,13,0,0,0,0,0,2,1,1
122,3623206407,13,0,0,0,0,1,0,2,0
123,3674390528,13,0,0,0,0,1,16,15,45
124,3690999615,13,0,0,0,3,0,17,8,40
125,3692428976,13,0,0,0,0,0,0,0,1
126,3743416536,13,0,0,0,0,0,0,6,0
127,3756847070,13,0,0,0,0,0,5,2,3
128,3787857889,14,0,0,0,0,0,2,3,2
129,3837793759,14,0,0,0,0,0,0,3,0
130,3854573565,14,0,0,0,1,0,8,0,5
131,3870170433,14,1,0,0,0,0,0,0,0
132,3892310715,14,1,0,0,1,0,5,6,4
133,4018094556,14,0,0,0,0,0,7,2,1
134,4022339695,14,0,0,0,0,0,3,3,8
135,4022870144,14,0,0,0,0,1,28,2,6
136,4025663468,14,0,0,0,0,1,14,5,15
137,4027367391,15,0,0,0,0,0,10,1,5
138,4056169567,15,0,0,0,0,0,0,0,1
139,4058002371,15,0,0,0,0,0,3,1,0
140,4060023944,15,2,0,0,1,0,2,1,4
141,4228411168,15,0,0,0,0,0,4,0,0
142,4257185270,15,0,0,0,0,0,0,1,2
143,4286612990,15,0,0,0,0,0,1,0,10
144,4293969869,15,0,0,0,0,0,5,6,4
145,4294768639,15,0,0,0,4,2,81,76,94
146,4320098300,16,0,0,0,0,0,2,1,10
147,4328456959,16,0,0,0,2,1,13,6,256
148,4395807778,16,0,0,0,0,0,1,0,0
149,4429414530,16,0,0,0,0,0,11,4,0
150,4464870026,16,0,0,0,2,3,16,10,12
151,4499633167,16,0,0,0,0,0,5,1,5
152,4504878556,16,1,0,0,0,0,3,1,0
153,4559341560,16,0,0,1,0,2,7,8,5
154,4562894935,16,0,0,0,0,0,2,0,1
155,4564123818,17,0,0,0,0,0,6,8,8
156,4570840412,17,0,0,0,0,0,1,1,1
157,4570859137,17,0,0,0,1,0,2,2,1
158,4571843068,17,0,0,0,0,1,2,3,2
159,4575118083,17,0,0,0,0,0,4,2,7
160,4609002664,17,1,0,0,0,0,0,1,0
161,4629385211,17,0,0,0,0,0,5,6,2
162,4736810049,17,0,0,0,0,0,0,0,0
163,4748091424,17,0,0,0,0,0,11,4,10
164,4778344896,17,0,0,0,0,1,10,11,4
165,4823899121,17,0,0,0,0,1,1,3,0
166,4831628286,17,0,0,0,0,1,10,7,51
167,4831934240,18,0,0,0,1,0,2,0,8
168,4840233586,18,0,0,0,0,0,2,1,1
169,4840359936,18,0,0,0,4,9,289,47,425
170,4881968896,18,0,0,0,0,0,7,7,12
171,4901043504,18,0,0,0,0,1,7,4,2
172,4947931129,18,0,0,0,0,0,0,4,0
173,5016662023,18,0,0,0,0,0,8,3,1
174,5087678213,18,0,0,0,0,0,6,7,3
175,5096480708,18,1,0,0,0,0,2,5,13
176,5122839489,19,0,0,0,0,0,0,0,1
177,5246863484,19,0,0,0,0,0,4,1,0
178,5300814723,19,0,0,0,1,0,5,3,5
179,5335283034,19,0,0,0,0,0,0,1,1
180,5368754368,20,0,0,0,3,5,31,61,55
181,5373231155,20,0,0,0,0,0,2,1,0
182,5376081945,20,0,0,0,0,0,5,2,2
183,5401591285,20,0,0,0,1,0,6,0,4
184,5469225085,20,0,0,0,0,0,5,1,1
185,5637187631,21,1,0,0,0,0,6,1,11
186,5666777923,21,0,0,0,0,0,1,0,0
187,5687493071,21,0,0,0,0,3,16,2,0
188,5702688832,21,0,0,0,0,0,2,0,1
189,5821825056,21,0,0,0,0,3,18,7,25
190,5901331680,21,0,0,0,0,0,1,2,1
191,5904381919,21,0,0,0,0,0,1,4,0
192,5906137146,22,1,0,0,0,0,3,2,2
193,5909217072,22,0,0,0,0,0,6,3,5
194,5990400900,22,0,0,0,0,0,0,1,0
195,6031286140,22,0,0,0,2,0,3,2,1
196,6037655007,22,1,0,0,0,0,2,0,3
197,6043913150,22,0,0,0,0,0,0,0,0
198,6157073663,22,0,0,0,0,0,6,4,4
199,6160334639,22,0,0,0,0,1,4,8,7
200,6165495735,22,0,0,0,4,1,14,8,7
