sample_index,token_id_uint64,mask_id,ECOLI_occurrences,PYRO_occurrences,YEAST_occurrences,all_three_present
164,4778344896,17,2,1,2,1
165,4823899121,17,1,1,1,1
166,4831628286,17,1,1,1,1
167,4831934240,18,1,1,2,1
168,4840233586,18,1,1,1,1
169,4840359936,18,1,2,18,1
170,4881968896,18,1,1,1,1
171,4901043504,18,1,1,1,1
172,4947931129,18,1,1,1,1
173,5016662023,18,1,1,1,1
174,5087678213,18,1,1,2,1
175,5096480708,18,1,1,1,1
176,5122839489,19,1,1,1,1
177,5246863484,19,1,1,1,1
178,5300814723,19,1,1,1,1
179,5335283034,19,1,1,1,1
180,5368754368,20,1,1,2,1
181,5373231155,20,1,1,1,1
182,5376081945,20,1,1,1,1
183,5401591285,20,1,1,1,1
184,5469225085,20,1,2,1,1
185,5637187631,21,1,1,1,1
186,5666777923,21,1,1,1,1
187,5687493071,21,1,1,1,1
188,5702688832,21,1,1,1,1
189,5821825056,21,1,1,1,1
190,5901331680,21,1,1,1,1
191,5904381919,21,1,1,1,1
192,5906137146,22,1,1,1,1
193,5909217072,22,1,1,1,1
194,5990400900,22,1,1,1,1
195,6031286140,22,1,1,1,1
196,6037655007,22,1,1,2,1
197,6043913150,22,1,1,1,1
198,6157073663,22,1,1,2,1
199,6160334639,22,1,1,1,1
200,6165495735,22,2,1,1,1
201,6173361913,22,1,1,1,1
202,6186602739,23,1,1,1,1
203,6190219516,23,1,1,1,1
204,6350443635,23,1,1,1,1
205,6388741060,23,1,1,2,1
206,6392118291,23,1,1,1,1
207,6440890219,23,1,1,1,1
208,6451363872,24,1,2,2,1
209,6468095296,24,1,1,1,1
210,6493307092,24,1,1,1,1
211,6501171464,24,1,1,2,1
212,6543138825,24,1,1,1,1
213,6623210759,24,1,1,3,1
214,6643790339,24,1,1,3,1
215,6722552587,25,1,2,1,1
216,6811657731,25,1,2,1,1
217,6841631791,25,1,1,1,1
218,6848184864,25,1,1,1,1
219,6856409091,25,1,1,1,1
220,6916716016,25,1,1,1,1
221,6978788595,25,1,1,1,1
222,6979518334,26,1,1,1,1
223,6983254190,26,1,1,1,1
224,6996041724,26,1,1,2,1
225,7134119950,26,1,1,1,1
226,7278104498,27,1,1,1,1
227,7407409194,27,1,1,2,1
228,7499396479,27,1,1,1,1
229,7514496988,27,1,1,1,1
230,7564148782,28,1,1,1,1
231,7656543220,28,1,2,1,1
232,7725649919,28,1,1,2,1
233,7776240006,28,1,1,1,1
234,7780388863,28,1,1,5,1
235,7783317309,28,1,1,1,1
236,7784093695,28,1,1,12,1
237,7797211328,29,1,1,13,1
238,7835025422,29,1,1,1,1
239,7916704821,29,1,1,1,1
240,7918628851,29,1,1,2,1
241,7926211371,29,1,1,1,1
242,7950071309,29,1,1,1,1
243,7991918079,29,1,1,1,1
244,8002698591,29,1,1,1,1
245,8019568768,29,1,1,6,1
246,8044676016,29,1,1,2,1
247,8060202951,30,1,1,1,1
248,8066466913,30,1,1,1,1
249,8136785375,30,1,1,1,1
250,8195617328,30,1,1,1,1
251,8245991370,30,1,1,1,1
252,8260646668,30,1,1,1,1
253,8320710644,30,1,1,1,1
254,8320843583,30,1,1,3,1
255,8322154739,31,1,1,2,1
256,8337776655,31,1,1,2,1
257,8384665599,31,1,1,1,1
258,8439103584,31,1,1,1,1
259,8440413649,31,1,1,2,1
260,8443084784,31,1,1,1,1
261,8443127651,31,1,1,1,1
262,8538911239,31,1,1,1,1
263,8585838191,31,1,1,1,1
264,8598320981,32,1,1,1,1
265,8599025824,32,1,2,1,1
266,8657705464,32,1,1,1,1
267,8685820592,32,1,1,1,1
268,8707372031,32,1,1,2,1
269,8714827647,32,1,1,1,1
270,8724139089,32,1,1,1,1
271,8758452012,32,1,1,1,1
272,8794438719,32,1,1,2,1
273,8824849455,32,1,1,1,1
274,8861565456,33,1,1,1,1
275,8862442752,33,1,1,1,1
276,8869709935,33,1,1,1,1
277,8904998860,33,1,1,1,1
278,8908716288,33,1,1,4,1
279,8976921473,33,1,1,1,1
280,9062856700,33,1,1,1,1
281,9093123580,33,1,1,1,1
282,9122597883,33,1,1,1,1
283,9124573429,33,1,1,2,1
284,9127735412,34,1,1,1,1
285,9158248410,34,1,1,1,1
286,9177162033,34,1,1,1,1
287,9261265504,34,1,1,1,1
288,9328132160,34,1,1,7,1
