genome_a,genome_b,domain_a,domain_b,pair_group,shared_masked_tokens,shared_literal_implementation_tokens,masked_only_shared_tokens,literal_retention_fraction,shared_boundary_tokens,shared_boundary_literal_tokens,shared_boundary_masked_only_tokens,boundary_literal_retention_fraction
METHANOCALDOCOCCUS,CELEGANS,Archaea,Eukarya,CROSS_DOMAIN,147,100,47,0.6802721088435374,19,17,2,0.8947368421052632
HALOFERAX,YEAST,Archaea,Eukarya,CROSS_DOMAIN,8,1,7,0.125,1,0,1,0.0
HALOFERAX,POMBE,Archaea,Eukarya,CROSS_DOMAIN,4,1,3,0.25,0,0,0,
HALOFERAX,NEUROSPORA,Archaea,Eukarya,CROSS_DOMAIN,4,0,4,0.0,0,0,0,
HALOFERAX,CELEGANS,Archaea,Eukarya,CROSS_DOMAIN,6,0,6,0.0,1,0,1,0.0
YEAST,POMBE,Eukarya,Eukarya,SAME_DOMAIN,351,84,267,0.23931623931623933,20,12,8,0.6
YEAST,NEUROSPORA,Eukarya,Eukarya,SAME_DOMAIN,398,114,284,0.2864321608040201,16,10,6,0.625
YEAST,CELEGANS,Eukarya,Eukarya,SAME_DOMAIN,779,309,470,0.39666238767650835,80,67,13,0.8375
POMBE,NEUROSPORA,Eukarya,Eukarya,SAME_DOMAIN,199,79,120,0.3969849246231156,9,9,0,1.0
POMBE,CELEGANS,Eukarya,Eukarya,SAME_DOMAIN,332,184,148,0.5542168674698795,34,30,4,0.8823529411764706
NEUROSPORA,CELEGANS,Eukarya,Eukarya,SAME_DOMAIN,350,196,154,0.56,30,27,3,0.9
