sample_index,token_id_uint64,mask_id,BACILLUS_occurrences,SULFOLOBUS_occurrences,POMBE_occurrences
186,5666777923,21,0,0,0
187,5687493071,21,0,0,0
188,5702688832,21,0,0,0
189,5821825056,21,1,0,3
190,5901331680,21,0,0,2
191,5904381919,21,0,0,0
192,5906137146,22,0,0,2
193,5909217072,22,0,0,0
194,5990400900,22,0,0,0
195,6031286140,22,0,0,0
196,6037655007,22,0,0,0
197,6043913150,22,0,0,0
198,6157073663,22,0,0,1
199,6160334639,22,0,0,2
200,6165495735,22,1,0,3
201,6173361913,22,0,0,0
202,6186602739,23,0,0,1
203,6190219516,23,2,0,0
204,6350443635,23,0,0,0
205,6388741060,23,0,1,0
206,6392118291,23,0,0,0
207,6440890219,23,0,0,0
208,6451363872,24,1,0,6
209,6468095296,24,0,0,0
210,6493307092,24,0,1,0
211,6501171464,24,0,0,0
212,6543138825,24,0,0,0
213,6623210759,24,0,0,0
214,6643790339,24,1,0,2
215,6722552587,25,0,0,0
216,6811657731,25,0,0,0
217,6841631791,25,0,0,1
218,6848184864,25,0,0,0
219,6856409091,25,0,0,1
220,6916716016,25,0,0,0
221,6978788595,25,0,0,0
222,6979518334,26,0,0,0
223,6983254190,26,1,0,2
224,6996041724,26,0,1,0
225,7134119950,26,0,0,0
226,7278104498,27,0,0,0
227,7407409194,27,0,0,0
228,7499396479,27,0,0,0
229,7514496988,27,0,0,0
230,7564148782,28,0,0,1
231,7656543220,28,0,0,1
232,7725649919,28,0,0,1
233,7776240006,28,0,0,0
234,7780388863,28,0,0,1
235,7783317309,28,0,0,1
236,7784093695,28,3,2,4
237,7797211328,29,2,0,20
238,7835025422,29,0,0,0
239,7916704821,29,0,0,0
240,7918628851,29,0,0,0
241,7926211371,29,0,0,0
242,7950071309,29,1,0,0
243,7991918079,29,0,0,0
244,8002698591,29,0,0,0
245,8019568768,29,0,0,0
246,8044676016,29,0,1,0
247,8060202951,30,0,0,1
248,8066466913,30,0,0,0
249,8136785375,30,0,1,0
250,8195617328,30,0,0,0
251,8245991370,30,1,0,1
252,8260646668,30,0,0,0
253,8320710644,30,0,0,1
254,8320843583,30,2,0,11
255,8322154739,31,0,0,0
256,8337776655,31,0,1,1
257,8384665599,31,0,0,2
258,8439103584,31,0,0,0
259,8440413649,31,0,0,0
260,8443084784,31,1,0,0
261,8443127651,31,0,0,0
262,8538911239,31,0,0,0
263,8585838191,31,0,0,1
264,8598320981,32,0,0,0
265,8599025824,32,0,0,0
266,8657705464,32,0,0,0
267,8685820592,32,0,0,0
268,8707372031,32,0,0,6
269,8714827647,32,0,0,0
270,8724139089,32,0,0,0
271,8758452012,32,0,0,0
272,8794438719,32,0,0,0
273,8824849455,32,0,0,1
274,8861565456,33,0,0,0
275,8862442752,33,0,0,0
276,8869709935,33,0,0,0
277,8904998860,33,0,0,1
278,8908716288,33,2,0,2
279,8976921473,33,0,0,0
280,9062856700,33,0,0,0
281,9093123580,33,0,0,0
282,9122597883,33,1,0,1
283,9124573429,33,0,1,0
284,9127735412,34,0,0,0
285,9158248410,34,0,0,0
286,9177162033,34,0,0,0
287,9261265504,34,0,0,0
288,9328132160,34,1,0,6
289,9330983677,34,0,0,0
290,9333657084,34,0,0,0
291,9349493381,34,0,0,0
292,9389986042,34,0,0,0
293,9390735343,34,0,0,0
294,9397500914,35,0,0,0
295,9453040845,35,0,0,0
296,9462349823,35,0,0,139
297,9497411056,35,0,0,0
298,9512449360,35,0,0,0
299,9521141696,35,0,0,0
300,9600889317,35,0,0,0
301,9607249851,35,0,0,0
302,9648456458,35,0,0,0
303,9661577213,35,1,1,8
304,9670755168,36,0,0,2
305,9671262223,36,1,0,2
306,9743369472,36,0,0,0
307,9766439884,36,0,0,0
308,9797834103,36,0,0,1
309,9881699266,36,0,0,0
310,9925009424,36,0,0,0
311,9932934093,37,0,0,0
312,9951020259,37,0,0,0
313,10072022945,37,0,0,0
314,10183778314,37,1,0,0
315,10203479947,38,0,0,0
316,10251057104,38,0,0,0
317,10271668210,38,0,0,0
318,10297847932,38,0,0,0
319,10317956108,38,0,0,0
320,10370186560,38,0,0,0
321,10383752751,38,0,0,0
322,10404101146,38,0,0,0
323,10432416573,38,0,0,0
324,10468914172,38,1,0,2
325,10485235703,39,1,0,1
326,10503269515,39,0,0,1
327,10504638216,39,0,0,2
328,10584311699,39,0,0,0
329,10674637021,39,0,0,0
330,10703597563,39,0,0,0
331,10734182261,39,0,0,1
332,10767788007,40,0,0,0
333,10816457218,40,0,0,0
334,10821111768,40,0,0,0
335,10854892064,40,1,0,0
336,10871883659,40,0,0,0
337,10921695691,40,0,0,0
338,10922688764,40,0,0,1
339,11006246912,41,0,0,7
340,11014110245,41,0,0,0
341,11021973494,41,0,0,1
342,11116724650,41,0,0,0
343,11138104602,41,0,0,0
344,11148488704,41,1,0,1
345,11208143312,41,0,0,0
346,11209010595,41,0,0,0
347,11209440736,41,0,0,0
348,11219368059,41,0,0,0
349,11271631095,41,0,0,0
350,11274993680,42,0,0,1
351,11319243808,42,0,0,0
352,11341564929,42,0,0,0
353,11416929730,42,0,0,1
354,11442782210,42,0,0,0
355,11458802444,42,0,0,1
356,11487346667,42,0,0,1
357,11508695091,42,0,0,0
358,11534334276,42,0,0,0
359,11540590079,42,0,0,1
360,11541687712,42,0,1,0
361,11541925884,42,1,0,9
362,11604336863,43,0,0,0
363,11643376127,43,0,0,1
364,11666440183,43,0,0,1
365,11752505280,43,0,0,0
366,11797797630,43,1,0,0
367,11810353392,43,1,0,2
368,11812146176,44,0,0,10
369,11812168112,44,0,0,0
370,11841035679,44,1,0,1
371,11878451391,44,0,0,2
372,11884101553,44,0,0,0
373,11943024637,44,0,3,1
374,11948294144,44,0,0,4
375,11992083456,44,0,0,0
376,12045262642,44,0,0,0
377,12062867699,44,0,0,4
378,12075448304,44,0,0,0
379,12079199036,44,1,0,0
380,12180722930,45,0,1,0
381,12199807025,45,1,0,0
382,12213804736,45,0,0,0
383,12300896288,45,0,0,0
384,12382883632,46,0,0,0
385,12412269530,46,0,0,0
386,12414107393,46,0,0,2
387,12465209321,46,1,0,0
388,12479922037,46,0,0,0
389,12582666305,46,1,0,1
390,12583695168,46,0,0,0
391,12603803407,46,0,0,1
392,12614355967,46,0,0,3
393,12617015432,47,0,0,0
394,12650698751,47,0,0,0
395,12723155169,47,0,0,0
396,12748398463,47,1,1,1
397,12817235743,47,0,0,0
398,12820972034,47,0,0,0
399,12873048044,47,0,0,0
400,12881686676,47,0,0,0
401,12886147585,48,0,0,0
402,12930199480,48,0,0,0
403,12933132748,48,0,0,1
404,12942311468,48,0,0,1
405,12964847680,48,0,0,0
406,13003259681,48,0,0,0
407,13021213055,48,0,0,1
